Filename,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
pitch_0001.mp4,SL,2023-09-27,89.2,-2.05,5.77,"Cole, Gerrit",666182,543037,,ball,,,,,14,"Bo Bichette grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,B,,,0,1,2023,0.42,-0.01,1.9,0.3,,,,2,9,Bot,,,,,,,8.80009896086303,-129.40766620564,-7.32130567468101,2.76354183590437,28.7019518543359,-30.8329224344395,3.66,1.71,,,,88.7,2617,6.3,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.21,,,,,,,,68,2,Slider,0,6,0,6,6,0,0,6,Strategic,Standard,137,0,0.031,,,,-0.031,,-6,-6,0,0,32,25,33,25,4,3,6,1,,1,2.91,-0.42,-0.42,38.9,,,,,
pitch_0002.mp4,SL,2023-09-27,87,-2.27,5.95,"Cole, Gerrit",595281,543037,,called_strike,,,,,7,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,,,0,0,2023,0.41,0.3,-0.77,2.15,,,,0,9,Bot,,,,,,,2.75812175746415,-126.663756170014,-3.57819256937984,3.90198724905877,25.2373821941437,-28.386599453155,3.28,1.67,,,,87.2,2566,6.3,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.19,,,,,,,,66,1,Slider,0,6,0,6,6,0,0,6,Infield shade,Standard,116,0,-0.042,,,,0.042,,-6,-6,0.003,0.003,32,33,33,33,3,2,6,1,,1,2.7,-0.41,0.41,43.5,,,,,
pitch_0003.mp4,SL,2023-09-27,89.7,-2.1,5.96,"Cole, Gerrit",593160,543037,,swinging_strike,,,,,9,Whit Merrifield pops out to first baseman DJ LeMahieu in foul territory.,R,R,R,TOR,NYY,S,,,0,0,2023,0.43,0.47,0.55,1.59,,,,2,8,Bot,,,,,,,5.63398846423372,-130.453874606506,-5.7646123220846,3.6312991518414,28.4749058979682,-25.8030434539896,3.29,1.55,,,,89.3,2483,6.2,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.33,,,,,,,,60,1,Slider,0,6,0,6,6,0,0,6,Standard,Standard,176,0,-0.045,67.5,7.8,,0.045,,-6,-6,0.003,0.003,32,34,33,34,3,2,6,3,,3,2.38,-0.43,-0.43,43,23.1141125385927,-17.2172695929207,34.9094032521187,42.7721451761948,37.3287902513826
pitch_0004.mp4,SL,2023-09-27,86.4,-1.92,5.86,"Cole, Gerrit",672386,543037,,ball,,,,,14,Alejandro Kirk lines out to center fielder Estevan Florial.,R,R,R,TOR,NYY,B,,,1,2,2023,0.37,0.31,1.18,2.06,,,,0,8,Bot,,,,,,,6.64244903593982,-125.643721380521,-3.43251013137832,2.6171589048986,25.5074781735989,-28.4319697140733,3.01,1.35,,,,86.5,2458,6.4,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.1,,,,,,,,58,4,Slider,0,6,0,6,6,0,0,6,Strategic,Standard,112,0,0.046,,,,-0.046,,-6,-6,0.009,0.009,32,24,33,25,3,2,6,1,,1,2.75,-0.37,-0.37,43.1,,,,,
pitch_0005.mp4,SL,2023-09-27,87.4,-2.02,5.9,"Cole, Gerrit",672386,543037,,called_strike,,,,,14,Alejandro Kirk lines out to center fielder Estevan Florial.,R,R,R,TOR,NYY,S,,,1,1,2023,0.34,0.3,0.89,1.85,,,,0,8,Bot,,,,,,,6.31095682901525,-127.181665232727,-4.22893815346709,2.39645909397804,26.5321738977376,-28.2101555944552,3.01,1.44,,,,87.4,2428,6.3,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.17,,,,,,,,58,3,Slider,0,6,0,6,6,0,0,6,Strategic,Standard,130,0,-0.061,,,,0.061,,-6,-6,0.009,0.009,32,24,33,25,3,2,6,1,,1,2.69,-0.34,-0.34,44.4,,,,,
pitch_0006.mp4,SL,2023-09-27,87.4,-1.88,6.05,"Cole, Gerrit",543807,543037,,ball,,,,,14,George Springer flies out to center fielder Estevan Florial.,R,R,R,TOR,NYY,B,,,0,2,2023,0.33,-0.1,1.28,1.7,,,,2,6,Bot,,,,,,,6.94029541621232,-127.107106005633,-4.15478107887323,2.12088759890056,26.1351666426404,-32.5533632058054,3.52,1.49,,,,87.6,2660,6.4,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.07,,,,,,,,44,3,Slider,0,4,0,4,4,0,0,4,Standard,Standard,106,0,0.022,,,,-0.022,,-4,-4,0.059,0.059,32,33,33,34,3,2,6,1,,1,3.08,-0.33,-0.33,45.7,,,,,
pitch_0007.mp4,SL,2023-09-27,86.3,-2.17,5.88,"Cole, Gerrit",593160,543037,,swinging_strike,,,,,9,"Whit Merrifield grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,S,,,1,1,2023,0.63,0.15,0.61,1.87,,,,0,6,Bot,,,,,,,5.32510423175961,-125.727672073759,-3.67458457665495,5.73245746331037,23.6720122880408,-30.1169719618585,3.29,1.55,,,,86.7,2598,6.3,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.19,,,,,,,,42,3,Slider,0,4,0,4,4,0,0,4,Standard,Standard,102,0,-0.061,65.6,7.9,,0.061,,-4,-4,0.088,0.088,32,34,33,34,2,1,6,3,,3,2.89,-0.63,-0.63,42.6,21.7407160034446,-20.638588627031,35.4015432252913,43.6505299413509,43.898278238789
pitch_0008.mp4,SL,2023-09-27,87.6,-2.11,5.92,"Cole, Gerrit",656305,543037,field_out,hit_into_play,,,,,5,Matt Chapman flies out sharply to center fielder Estevan Florial.,R,R,R,TOR,NYY,X,8,fly_ball,1,1,2023,0.65,0.19,-0.02,2.43,,,,2,5,Bot,127.55,45.9,,,,,3.72390846084232,-127.594214619125,-2.74421263594255,6.43486171924892,24.3325248189178,-29.7849608056897,3.51,1.66,378,102.4,34,88,2538,6.3,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.17,0.474,0.904,0,1,0,0,6,38,3,Slider,0,4,0,4,4,0,0,4,Strategic,Standard,110,-0.007,-0.261,73.8,7.3,1.805,0.261,102.4,-4,-4,0.081,0.081,32,30,33,30,2,1,6,1,,1,2.76,-0.65,-0.65,42.9,3.50299792385481,-5.70111320249148,28.6242234701697,38.6558867650505,26.9156611288543
pitch_0009.mp4,SL,2023-09-27,87.1,-1.93,5.99,"Cole, Gerrit",656305,543037,,ball,,,,,14,Matt Chapman flies out sharply to center fielder Estevan Florial.,R,R,R,TOR,NYY,B,,,0,1,2023,0.55,0.35,1.08,1.91,,,,2,5,Bot,,,,,,,6.09184327047491,-126.7691302757,-4.34958268496622,4.71099343791375,24.9612507334623,-27.725805427497,3.34,1.65,,,,87,2546,6.1,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.38,,,,,,,,38,2,Slider,0,4,0,4,4,0,0,4,Strategic,Standard,136,0,0.031,,,,-0.031,,-4,-4,0.081,0.081,32,30,33,30,2,1,6,1,,1,2.64,-0.55,-0.55,43.7,,,,,
pitch_0010.mp4,SL,2023-09-27,85.8,-2.09,5.96,"Cole, Gerrit",672386,543037,,ball,,,,,11,Alejandro Kirk flies out to center fielder Estevan Florial.,R,R,R,TOR,NYY,B,,,0,0,2023,0.57,0.14,-0.11,3.29,,,,1,5,Bot,,,,,,,3.54792446976085,-125.014786555828,-0.377712314154852,5.30251261588062,24.3587922966572,-30.8797703473685,2.99,1.35,,,,86,2534,6.3,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.25,,,,,,,,37,1,Slider,0,4,0,4,4,0,0,4,Strategic,Standard,109,0,0.039,,,,-0.039,,-4,-4,0.093,0.093,32,24,33,25,2,1,6,1,,1,2.94,-0.57,-0.57,44.1,,,,,
